scheme_id,scheme_name,scheme_scope,category,applicability,target_beneficiary,description,benefits,eligibility_criteria,age_min,age_max,income_limit,official_url,source_authority
TS001,Rythu Bharosa,State,Agriculture,Telangana,Farmers,Investment support for eligible farmers,"₹6,000 per acre per season as stated by Telangana Agriculture & Farmers Welfare Commission",Official scheme eligibility/land and farmer conditions to be verified from current departmental rules,,,,https://farmerswelfarecommission.telangana.gov.in/,Telangana Agriculture & Farmers Welfare Commission
TS002,Rythu Bhima,State,Agriculture / Insurance,Telangana,Eligible farmers / landowners,Life insurance support for eligible farmers,₹5 lakh insurance coverage as described by Telangana Agriculture & Farmers Welfare Commission,Eligibility depends on current Telangana farmer/land records and scheme rules,,,,https://farmerswelfarecommission.telangana.gov.in/,Telangana Agriculture & Farmers Welfare Commission
TS003,Cheyutha,State,Healthcare,Telangana,Eligible economically disadvantaged families,Healthcare assistance through Rajiv Aarogyasri,Up to ₹10 lakh family medical coverage as described on Telangana State Portal,Eligibility determined under current Aarogyasri/Cheyutha rules,,,,https://www.telangana.gov.in/Government-Initiatives/,Telangana State Portal
TS004,Maha Lakshmi,State,Women / Welfare,Telangana,Eligible women who are heads of families; other conditions apply,"Women-focused financial assistance, subsidised LPG and free TSRTC travel","₹2,500 monthly assistance; ₹500 LPG cylinder; free TSRTC bus travel as described on Telangana State Portal",Current scheme-specific eligibility and implementation rules apply,,,,https://www.telangana.gov.in/Government-Initiatives/,Telangana State Portal
TS005,Aasara Pensions,State,Social Security,Telangana,Eligible vulnerable groups,Social security pension support,Amount varies by category/current rules,Category-specific age/disability/widow and other conditions apply,,,,https://www.aasara.telangana.gov.in/,Telangana Aasara portal
TS006,Telangana ePASS Scholarships,State,Education / Scholarship,Telangana,Eligible students,Scholarship support for eligible students,Depends on scholarship category and current rules,Income/category/course/residence and other criteria depend on the scholarship type,,,,https://telanganaepass.cgg.gov.in/,Telangana ePASS portal
TS007,MCH Kit Scheme,State,Healthcare / Women & Child,Telangana,Eligible pregnant women and newborns,Maternal and newborn support through MCH Kit programme,Benefits according to current Telangana health programme,Pregnancy/residence and programme-specific conditions apply,,,,https://chfw.telangana.gov.in/programmes.html,"Commissionerate of Health & Family Welfare, Telangana"
TS008,Telangana Free Diagnostic Services,State,Healthcare,Telangana,Eligible citizens using covered public health services,Free diagnostic services under Telangana health programme,Service coverage depends on current programme rules,Facility/service eligibility applies,,,,https://chfw.telangana.gov.in/programmes.html,"Commissionerate of Health & Family Welfare, Telangana"
CT001,PM-KISAN,Central,Agriculture,Telangana applicable,Eligible landholding farmer families,Income support for eligible farmer families,"₹6,000 per year in three instalments",Central eligibility and exclusion rules apply; Telangana is within India-wide coverage,,,,https://pmkisan.gov.in/,Government of India / PM-KISAN
CT002,Ayushman Bharat PM-JAY,Central,Healthcare,Telangana applicable,Eligible beneficiary families/groups,Cashless health assurance under PM-JAY,Coverage subject to current PM-JAY rules,Eligibility is determined through official beneficiary criteria,,,,https://pmjay.gov.in/,Government of India / PM-JAY
CT003,PMAY-U 2.0,Central,Housing,Telangana applicable,Eligible urban EWS/LIG/MIG families,Housing assistance under applicable verticals,Up to ₹2.5 lakh central assistance under applicable provisions,"Income band, house ownership and other vertical-specific criteria apply",,,,https://pmaymis.gov.in/pmaymis2_2024/,Government of India / PMAY-U 2.0
CT004,Pradhan Mantri Mudra Yojana,Central,Entrepreneurship,Telangana applicable,Eligible micro-enterprise/income-generating activities,Credit support for eligible micro enterprises,Credit under current MUDRA categories/rules,"Business purpose, lender criteria and current scheme conditions apply",,,,https://www.myscheme.gov.in/,Government of India / myScheme
CT005,PMEGP,Central,Employment / Entrepreneurship,Telangana applicable,Eligible new micro enterprises and qualifying cases,Credit-linked support for self-employment,Margin-money subsidy/credit-linked support under current rules,"Project, applicant and enterprise conditions apply",,,,https://www.kviconline.gov.in/pmegpeportal/,Government of India / PMEGP
CT006,Atal Pension Yojana,Central,Pension / Social Security,Telangana applicable,Eligible Indian citizens,Pension after age 60 under scheme rules,"₹1,000–₹5,000 monthly guaranteed minimum pension options subject to conditions",Age 18–40 and other current eligibility conditions apply,,,,https://pfrda.org.in/web/pfrda/schemes/atal-pension-yojana-apy,PFRDA / Government of India
