scheme_id,scheme_name,document_title,document_type,official_url,source_authority,publication_or_update_date
TS001,Rythu Bharosa,Rythu Bharosa Investment Support Operational Guidelines,Policy Notification / Portal Guidelines,https://farmerswelfarecommission.telangana.gov.in/,Telangana Agriculture & Farmers Welfare Commission,2024-01-26
TS001,Rythu Bharosa,Telangana Agriculture Department Scheme Portal & Citizen Services,Official Portal Page,https://agri.telangana.gov.in/,Department of Agriculture Government of Telangana,2024-06-15
TS002,Rythu Bhima,Rythu Bima (Farmers Group Life Insurance Scheme) Operational Guidelines & Claim Manual,Operational Manual / Guidelines,https://rythubandhu.telangana.gov.in/Default_lic1.aspx,Telangana Agriculture & Farmers Welfare Commission / LIC,2023-08-14
TS002,Rythu Bhima,Rythu Bandhu & Rythu Bima Land Records Integration Framework,Official Portal Page,https://rythubandhu.telangana.gov.in/,Department of Agriculture Government of Telangana,2024-02-01
TS003,Cheyutha,Rajiv Aarogyasri Scheme Implementation Guidelines and Beneficiary Charter (Enhanced Rs 10 Lakh Cover),Scheme Guidelines,https://www.aarogyasri.telangana.gov.in/web/guest/about-scheme,Rajiv Aarogyasri Health Care Trust Telangana,2023-12-09
TS003,Cheyutha,Telangana Government Initiatives: Rajiv Aarogyasri Cheyutha Healthcare,Official Portal Page,https://www.telangana.gov.in/Government-Initiatives/,Government of Telangana,2024-01-10
TS004,Maha Lakshmi,G.O. Ms. No. 3 Transport Dept - Free Bus Travel for Women in TSRTC Buses (Maha Lakshmi Scheme),Government Order (G.O.),https://www.telangana.gov.in/Government-Initiatives/,Transport R&B Department Government of Telangana,2023-12-09
TS004,Maha Lakshmi,Praja Palana Maha Lakshmi 500 Subsidized LPG and 2500 Financial Aid Guidelines,Scheme Guidelines / FAQ,https://prajapalana.telangana.gov.in/,Civil Supplies Department Government of Telangana,2024-02-27
TS005,Aasara Pensions,G.O. Ms. No. 17 PR&RD Dept - Comprehensive Guidelines for Administration of Aasara Social Security Pensions,Government Order (G.O.) / Rules,https://www.aasara.telangana.gov.in/,Society for Elimination of Rural Poverty (SERP) Telangana,2023-05-18
TS005,Aasara Pensions,Aasara Pension Category-wise Eligibility Criteria and Online Verification Handbook,Official Portal Page / FAQ,https://www.aasara.telangana.gov.in/NSSO/,Panchayat Raj & Rural Development Department Telangana,2024-01-15
TS006,Telangana ePASS Scholarships,Telangana ePASS Post-Matric & Pre-Matric Scholarships Eligibility Manual & FAQs,Official Guidelines / FAQ,https://telanganaepass.cgg.gov.in/FAQ.do,Centre for Good Governance (CGG) / Welfare Departments Telangana,2024-07-01
TS006,Telangana ePASS Scholarships,Telangana Electronic Payment and Application System of Scholarships Portal,Official Portal Page,https://telanganaepass.cgg.gov.in/,SC ST BC Minority & Disabled Welfare Departments Telangana,2024-08-01
TS007,MCH Kit Scheme,Maternal and Child Health (MCH/KCR Kit) Program Guidelines and Entitlement Schedule,Scheme Guidelines,https://chfw.telangana.gov.in/programmes.html,Commissionerate of Health & Family Welfare Telangana,2023-11-20
TS007,MCH Kit Scheme,Telangana Mother and Child Tracking System (MCTS) Portal,Official Portal Page,https://kcrkit.telangana.gov.in/,Health Medical & Family Welfare Department Telangana,2024-03-12
TS008,Telangana Free Diagnostic Services,T-Diagnostics Free Diagnostic Services Implementation Framework & Test Menu,Program Charter / Test Directory,https://chfw.telangana.gov.in/programmes.html,Commissionerate of Health & Family Welfare Telangana,2023-10-15
TS008,Telangana Free Diagnostic Services,Telangana Diagnostics Hub-and-Spoke Laboratory Network Portal,Official Portal Page,https://telanganadiagnostics.com/,Government of Telangana Health Department,2024-04-10
CT001,PM-KISAN,Operational Guidelines of Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Scheme Guidelines / PDF,https://pmkisan.gov.in/Documents/OperationalGuidelines.pdf,Department of Agriculture & Farmers Welfare Ministry of Agriculture GoI,2023-07-15
CT001,PM-KISAN,PM-KISAN Portal and Mandatory eKYC / Exclusion Norms Directory,Official Portal Page / FAQ,https://pmkisan.gov.in/,Ministry of Agriculture & Farmers Welfare Government of India,2024-06-18
CT002,Ayushman Bharat PM-JAY,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana Guidelines & Benefit Package Directory,Scheme Guidelines / Policy Document,https://nha.gov.in/PM-JAY,National Health Authority (NHA) Ministry of Health GoI,2024-01-10
CT002,Ayushman Bharat PM-JAY,Ayushman Bharat PM-JAY Scheme Expansion for Senior Citizens Aged 70 and Above,Policy Notification,https://pmjay.gov.in/about/pmjay,National Health Authority (NHA) Government of India,2024-09-11
CT003,PMAY-U 2.0,Pradhan Mantri Awas Yojana - Urban 2.0 (PMAY-U 2.0) Scheme Guidelines: Housing for All,Scheme Guidelines / PDF,https://pmaymis.gov.in/pmaymis2_2024/,Ministry of Housing and Urban Affairs (MoHUA) GoI,2024-09-01
CT003,PMAY-U 2.0,PMAY-U 2.0 Interest Subsidy Scheme (ISS) and BLC Operational Framework,Official Portal Page,https://pmaymis.gov.in/,Ministry of Housing and Urban Affairs Government of India,2024-09-15
CT004,Pradhan Mantri Mudra Yojana,Pradhan Mantri MUDRA Yojana (PMMY) Master Scheme Guidelines & Product Offerings,Scheme Guidelines,https://www.mudra.org.in/Offerings,Micro Units Development & Refinance Agency (MUDRA) GoI,2024-07-23
CT004,Pradhan Mantri Mudra Yojana,MUDRA Loan FAQs and Lending Institution Directory,Official Portal Page / FAQ,https://www.mudra.org.in/FAQ,Department of Financial Services Ministry of Finance GoI,2024-08-05
CT005,PMEGP,Prime Minister Employment Generation Programme (PMEGP) Operational Scheme Guidelines,Scheme Guidelines / PDF,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonpdf/PMEGP_SCHEME_GUIDELINE.pdf,Khadi and Village Industries Commission (KVIC) Ministry of MSME GoI,2023-06-01
CT005,PMEGP,PMEGP Online e-Portal User Manual and Margin Money Subsidy Administration,Official Portal Page,https://www.kviconline.gov.in/pmegpeportal/,Ministry of Micro Small & Medium Enterprises (MSME) GoI,2024-05-10
CT006,Atal Pension Yojana,Atal Pension Yojana (APY) Master Circular & Operational Guidelines,Master Circular / PDF,https://pfrda.org.in/web/pfrda/schemes/atal-pension-yojana-apy,Pension Fund Regulatory and Development Authority (PFRDA),2023-10-01
