scheme_id,scheme_name,old_url,replacement_url,source_authority,document_title,document_type,retrieval_date,replacement_reason,classification
TS001,Rythu Bharosa,https://farmerswelfarecommission.telangana.gov.in/,https://agriculture.telangana.gov.in/,Department of Agriculture Government of Telangana,Telangana Agriculture Department Rythu Bharosa Investment Support Portal,Official Portal Page,2026-08-15,Old URL returned a thin 1.5KB landing stub without complete scheme criteria,VERIFIED_REPLACEMENT
TS002,Rythu Bhima,https://rythubandhu.telangana.gov.in/Default_lic1.aspx,https://www.myscheme.gov.in/schemes/rbs,Government of India / Government of Telangana,Rythu Bima Farmers Group Life Insurance Scheme Official Guidelines,Official Scheme Repository,2026-08-15,Old URL failed with DNS resolution error on legacy subdomain,VERIFIED_REPLACEMENT
TS002,Rythu Bhima,https://rythubandhu.telangana.gov.in/,https://agriculture.telangana.gov.in/,Department of Agriculture Government of Telangana,Telangana Agriculture Farmer Welfare Schemes Directory,Official Portal Page,2026-08-15,Old URL failed with DNS resolution error,SECONDARY_OFFICIAL_SOURCE
TS003,Cheyutha,https://www.aarogyasri.telangana.gov.in/web/guest/about-scheme,https://www.aarogyasri.telangana.gov.in/,Rajiv Aarogyasri Health Care Trust Telangana,Rajiv Aarogyasri Healthcare Trust Official Portal & Coverage Guidelines,Official Portal Page,2026-08-15,Old sub-path returned HTTP 404 client error due to portal route update,VERIFIED_REPLACEMENT
TS004,Maha Lakshmi,https://www.telangana.gov.in/Government-Initiatives/,https://mahalakshmi.telangana.gov.in/,Government of Telangana,Maha Lakshmi Scheme Dedicated Portal & Praja Palana Implementation,Official Portal Page,2026-08-15,Old URL was a generic initiatives page sharing duplicate content with TS003,VERIFIED_REPLACEMENT
TS004,Maha Lakshmi,https://prajapalana.telangana.gov.in/,https://www.myscheme.gov.in/schemes/mlsfbt,Government of India / Government of Telangana,Maha Lakshmi Scheme - Free Bus Travel for Women Guidelines,Official Scheme Repository,2026-08-15,Old URL was a thin form container with only 6 words,VERIFIED_REPLACEMENT
TS005,Aasara Pensions,https://www.aasara.telangana.gov.in/NSSO/,https://www.aasara.telangana.gov.in/,Society for Elimination of Rural Poverty (SERP) Telangana,Aasara Social Security Pensions Official Portal & Category Rules,Official Portal Page,2026-08-15,Old NSSO sub-path returned HTTP 404 error,VERIFIED_REPLACEMENT
TS006,Telangana ePASS Scholarships,https://telanganaepass.cgg.gov.in/FAQ.do,https://telanganaepass.cgg.gov.in/,Centre for Good Governance (CGG) / Welfare Departments Telangana,Telangana ePASS Comprehensive Student Scholarships Portal & FAQs,Official Portal Page,2026-08-15,Old FAQ.do endpoint returned HTTP 404 / redirect,VERIFIED_REPLACEMENT
TS007,MCH Kit Scheme,https://kcrkit.telangana.gov.in/,https://chfw.telangana.gov.in/programmes.html,Commissionerate of Health & Family Welfare Telangana,Maternal and Child Health Program Guidelines & Institutional Delivery Norms,Official Program Guidelines,2026-08-15,Old kcrkit subdomain failed DNS lookup due to domain deprecation,VERIFIED_REPLACEMENT
TS008,Telangana Free Diagnostic Services,https://telanganadiagnostics.com/,https://tdiagnostics.telangana.gov.in/,Department of Health & Family Welfare Government of Telangana,Telangana Diagnostics Official Government Subdomain Portal & Test Menu,Official Portal Page,2026-08-15,Old commercial .com domain failed DNS resolution,VERIFIED_REPLACEMENT
